observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-08-09 13:00:00+00:00,2024,summer,10.289,250.0,22.33,7.606437567664473,17.3,254.0,338.613964638343,19.29573320601393,3.6322,354.27749784435696,1.8735902519833594
2024-08-09 14:00:00+00:00,2024,summer,10.289,250.0,22.33,7.606437567664473,18.4,336.0,332.15858576308864,19.019528668117406,4.8048,346.37331443120604,1.8525717897102585
2024-08-09 15:00:00+00:00,2024,summer,10.289,250.0,22.33,7.606437567664473,18.0,256.0,334.5059962631811,19.120329210576973,3.6608,349.9655254737581,1.862153450997364
2024-08-09 16:00:00+00:00,2024,summer,10.289,250.0,22.33,7.606437567664473,17.9,189.0,335.09284888820423,19.14546451995717,2.7027,351.5356134081614,1.8663259658751388
2024-08-09 17:00:00+00:00,2024,summer,8.746,240.0,22.33,5.344791435476809,17.7,147.0,270.3801710464699,19.195657471837542,2.1021,287.47372851830744,1.6877258981660626
2024-08-09 18:00:00+00:00,2024,summer,7.717,240.0,22.33,4.715956495263495,17.0,236.0,253.310463097026,19.370519167956157,3.3748,269.30618226498217,1.6335257899069393
2024-08-09 19:00:00+00:00,2024,summer,6.688,230.0,22.33,3.105762679060791,16.2,93.0,198.3792847335694,19.568817359993037,1.3299,216.61820209356242,1.46504278257496
2024-08-09 20:00:00+00:00,2024,summer,5.659,220.0,22.33,1.71770007677322,15.4,0.0,145.61721407224385,19.765477580452682,0.0,165.38269165269654,1.2801116846399727
2024-08-09 21:00:00+00:00,2024,summer,5.659,220.0,22.33,1.71770007677322,15.3,0.0,145.86153825692884,19.78994538888251,0.0,165.65148364581134,1.281151527666121
2024-08-09 22:00:00+00:00,2024,summer,4.63,220.0,22.33,1.405363377886554,15.3,0.0,132.8387663607665,19.78994538888251,0.0,152.628711749649,1.2297616715706436
2024-08-09 23:00:00+00:00,2024,summer,4.63,220.0,22.33,1.405363377886554,14.9,0.0,133.72880834643325,19.88756245579483,0.0,153.6163708022281,1.23373414396044
2024-08-10 00:00:00+00:00,2024,summer,5.144,220.0,22.33,1.5613799602264435,14.8,0.0,140.68652397512358,19.911903268935795,0.0,160.59842724405937,1.2614599820961296
2024-08-10 01:00:00+00:00,2024,summer,4.63,220.0,22.33,1.405363377886554,14.3,0.0,135.06387132493342,20.033227493424036,0.0,155.09709881835744,1.2396659451808927
2024-08-10 02:00:00+00:00,2024,summer,4.63,220.0,22.33,1.405363377886554,14.6,0.0,134.39633983568334,19.960508874188154,0.0,154.35684870987149,1.2367040573134935
2024-08-10 03:00:00+00:00,2024,summer,5.144,230.0,22.33,2.388762443344604,14.7,0.0,172.97654085268715,19.9362187358664,0.0,192.91275958855354,1.3825578441812434
2024-08-10 04:00:00+00:00,2024,summer,5.659,230.0,22.33,2.6279173147136685,14.7,0.0,183.48321681855393,19.9362187358664,0.0,203.41943555442032,1.4197080872126164
2024-08-10 05:00:00+00:00,2024,summer,4.63,230.0,22.33,2.1500719503665464,14.6,0.0,163.84795814756126,19.960508874188154,0.0,183.8084670217494,1.3495394681747157
2024-08-10 06:00:00+00:00,2024,summer,4.63,230.0,22.33,2.1500719503665464,14.7,52.0,163.5766866936746,19.9362187358664,0.7436,182.769305429541,1.3457192488691931
