snapshot,line_id,bus0,bus1,flow_MW,abs_flow_MW,rating_MW,overload_MW
2030-01-18 09:00:00,1021-2121-1,1021,2121,36.73107043528654,36.73107043528654,121.0,0.0
2030-01-18 10:00:00,1021-2121-1,1021,2121,39.71668400922681,39.71668400922681,121.0,0.0
2030-01-18 11:00:00,1021-2121-1,1021,2121,17.70524207266328,17.70524207266328,121.0,0.0
2030-01-18 12:00:00,1021-2121-1,1021,2121,-9.914210354732518,9.914210354732518,121.0,0.0
2030-01-18 13:00:00,1021-2121-1,1021,2121,-6.421375552746554,6.421375552746554,121.0,0.0
2030-01-18 14:00:00,1021-2121-1,1021,2121,-3.3433619194137805,3.3433619194137805,121.0,0.0
2030-01-18 15:00:00,1021-2121-1,1021,2121,-18.114985343847536,18.114985343847536,121.0,0.0
2030-01-18 16:00:00,1021-2121-1,1021,2121,-11.836527992956121,11.836527992956121,121.0,0.0
2030-01-18 17:00:00,1021-2121-1,1021,2121,6.042959031889268,6.042959031889268,121.0,0.0
2030-01-18 18:00:00,1021-2121-1,1021,2121,21.58954513917604,21.58954513917604,121.0,0.0
2030-01-18 19:00:00,1021-2121-1,1021,2121,24.0312233051352,24.0312233051352,121.0,0.0
2030-01-18 20:00:00,1021-2121-1,1021,2121,-2.5336754527485255,2.5336754527485255,121.0,0.0
2030-01-18 21:00:00,1021-2121-1,1021,2121,-7.368325965909037,7.368325965909037,121.0,0.0
2030-01-18 22:00:00,1021-2121-1,1021,2121,2.5997446961744686,2.5997446961744686,121.0,0.0
2030-01-18 23:00:00,1021-2121-1,1021,2121,-11.730313167141844,11.730313167141844,121.0,0.0
2030-01-19 00:00:00,1021-2121-1,1021,2121,-26.555147983907943,26.555147983907943,121.0,0.0
2030-01-19 01:00:00,1021-2121-1,1021,2121,-12.079521343741249,12.079521343741249,121.0,0.0
2030-01-19 02:00:00,1021-2121-1,1021,2121,-9.587458296638417,9.587458296638417,121.0,0.0
2030-01-19 03:00:00,1021-2121-1,1021,2121,-24.892740030594524,24.892740030594524,121.0,0.0
2030-01-19 04:00:00,1021-2121-1,1021,2121,-34.48100900433582,34.48100900433582,121.0,0.0
2030-01-19 05:00:00,1021-2121-1,1021,2121,-4.870533247497377,4.870533247497377,121.0,0.0
2030-01-19 06:00:00,1021-2121-1,1021,2121,0.469180701480127,0.469180701480127,121.0,0.0
2030-01-19 07:00:00,1021-2121-1,1021,2121,-28.442480722750815,28.442480722750815,121.0,0.0
2030-01-19 08:00:00,1021-2121-1,1021,2121,-16.120031007037653,16.120031007037653,121.0,0.0
2030-01-19 09:00:00,1021-2121-1,1021,2121,-25.469580778865918,25.469580778865918,121.0,0.0
2030-01-19 10:00:00,1021-2121-1,1021,2121,-20.04422502125891,20.04422502125891,121.0,0.0
2030-01-19 11:00:00,1021-2121-1,1021,2121,-5.456945920924909,5.456945920924909,121.0,0.0
2030-01-19 12:00:00,1021-2121-1,1021,2121,-11.327845387539014,11.327845387539014,121.0,0.0
2030-01-19 13:00:00,1021-2121-1,1021,2121,10.29646724596347,10.29646724596347,121.0,0.0
2030-01-19 14:00:00,1021-2121-1,1021,2121,8.385786763007445,8.385786763007445,121.0,0.0
2030-01-19 15:00:00,1021-2121-1,1021,2121,11.319292217964176,11.319292217964176,121.0,0.0
2030-01-19 16:00:00,1021-2121-1,1021,2121,-24.185907951860145,24.185907951860145,121.0,0.0
2030-01-19 17:00:00,1021-2121-1,1021,2121,-20.477815236472907,20.477815236472907,121.0,0.0
