node_id,node_name,candidate_unit,p_nom_total_MW_nameplate,n_generators_at_bus,carriers_at_bus
1841,CRANE,bus,77.90499999999999,4,load shedding;solar;wind
1861,CARRICK ON S,bus,60.699999999999996,4,load shedding;solar;unknown
1881,CHARLEVILLE,bus,107.089,8,load shedding;wind
18810,BALLYNADRIDE,bus,120.0,1,solar
1901,CARLOW,bus,179.485,11,load shedding;solar;wind
1921,COW CROSS,bus,32.655,2,load shedding;solar
1931,CUNGHILL,bus,34.8,2,wind
1971,COOMAGEARLAH,bus,81.0,3,wind
1991,CASTLEDOCKRE,bus,41.400000000000006,4,wind
2061,CASTLETREASU,bus,55.0,1,solar
20900,BUFFY,bus,109.2,2,wind
2101,DUNDALK,bus,121.78,4,load shedding;solar;wind
2111,UGGOOL,bus,174.0,2,wind
2121,DRUMLINE,bus,56.625,3,load shedding;solar
21210,COOLSHAMROGE,bus,60.0,1,solar
2131,DROMADA,bus,28.5,1,wind
2141,DUNGARVAN,bus,134.70999999999998,8,load shedding;solar;unknown;wind
2151,DROMBEG,bus,75.2,2,solar;wind
2161,DOON,bus,60.870000000000005,3,load shedding;solar
2171,KNOCKALOUGH,bus,33.6,1,wind
2181,DRYBRIDGE,bus,165.03000000000003,9,load shedding;solar;wind
2211,DENNISTOWN,bus,101.1,1,solar
2221,DUNMANWAY,bus,28.17,5,unknown;wind
2225,DUNMANWAY,bus,82.47,3,load shedding;wind
2231,DERRYBRIEN,bus,59.5,1,wind
2241,DALLOW,bus,58.775,6,load shedding;wind
2271,DERRYLAHAN,bus,65.0,1,solar
2281,DALTON_A1,bus,44.8,2,solar;wind
22811,DALTON_A2,bus,51.66,2,load shedding;wind
2301,DUNFIRTH,bus,48.480000000000004,3,load shedding;solar
2331,FERRY VIEW,bus,47.3,1,wind
2361,ENNIS,bus,128.365,2,load shedding;solar
23610,SLIEVECALLAN,bus,72.39,2,wind
2391,KILL HILL,bus,36.0,1,wind
2401,MOUNT LUCAS,bus,79.2,1,wind
25610,NEWBARN,bus,93.27,2,solar
2571,FIN_RURAL,bus,69.98,2,load shedding;solar
2601,FIRLOUGH,bus,75.6,2,wind
2641,GRAHOMICK,bus,54.8,1,solar
